fu_id,session_id,feature_name,clicks,time_spent_sec
1,S00628,Search,19,415
2,S00592,Notification,1,164
3,S00527,Search,10,192
4,S01712,Profile,14,332
5,S00456,Settings,13,298
6,S01293,Upload,9,267
7,S01655,Notification,6,596
8,S00811,Search,6,183
9,S00188,Payment,19,339
10,S01021,Search,10,240
11,S01593,Payment,3,170
12,S00711,Notification,18,195
13,S00529,Chat,19,152
14,S00434,Payment,5,291
15,S00288,Search,11,36
16,S01942,Notification,10,255
17,S01591,Search,17,496
18,S00499,Chat,4,211
19,S01465,Upload,18,30
20,S01805,Settings,18,103
21,S00303,Settings,1,17
22,S00087,Chat,14,481
23,S00830,Profile,8,348
24,S00438,Notification,2,268
25,S00541,Chat,19,64
26,S01046,Upload,15,557
27,S00833,Search,2,15
28,S00797,Notification,4,386
29,S00560,Payment,1,563
30,S01541,Chat,19,59
31,S00762,Upload,10,121
32,S01699,Chat,1,155
33,S01527,Profile,15,239
34,S01738,Settings,4,506
35,S00467,Settings,7,315
36,S01125,Notification,7,551
37,S01607,Search,18,470
38,S01966,Upload,13,235
39,S00675,Chat,10,68
40,S00685,Notification,8,85
41,S01165,Chat,10,437
42,S00138,Notification,14,141
43,S00578,Settings,14,507
44,S00710,Profile,11,314
45,S01864,Chat,6,76
46,S00228,Profile,1,239
47,S00281,Payment,19,342
48,S00684,Payment,7,286
49,S00828,Settings,18,593
50,S00431,Upload,3,153
51,S01064,Profile,11,260
52,S01543,Notification,5,89
53,S01710,Upload,19,66
54,S01687,Chat,2,375
55,S01235,Chat,4,317
56,S00302,Notification,10,183
57,S01110,Search,2,471
58,S01421,Search,8,502
59,S01277,Chat,1,569
60,S00533,Settings,6,383
61,S00769,Settings,11,358
62,S01915,Notification,10,76
63,S01939,Search,13,339
64,S01405,Profile,1,203
65,S00444,Chat,2,164
66,S01057,Payment,3,169
67,S00260,Profile,9,275
68,S01258,Notification,5,177
69,S01539,Payment,10,154
70,S01883,Profile,10,195
71,S01332,Search,12,432
72,S00739,Settings,18,466
73,S00796,Search,1,354
74,S00070,Payment,3,563
